time ,0,1,2,carrier
3/12/2019 16:58,-54,-51,-53,0
3/12/2019 16:59,-55,-52,-54,0
3/12/2019 17:00,-52,-51,-53,2
3/12/2019 17:01,-58,-54,-54,0
3/12/2019 17:02,-55,-55,-54,2
3/12/2019 17:03,-59,-54,-58,0
3/12/2019 17:04,-60,-55,-58,0
3/12/2019 17:05,-61,-54,-58,0
3/12/2019 17:06,-58,-54,-59,2
3/12/2019 17:07,-56,-54,-59,2
3/12/2019 17:08,-55,-55,-59,2
3/12/2019 17:09,-54,-54,-58,2
3/12/2019 17:10,-57,-54,-58,2
3/12/2019 17:11,-58,-54,-57,0
3/12/2019 17:12,-59,-54,-57,0
3/12/2019 17:13,-60,-54,-59,0
3/12/2019 17:14,-56,-55,-58,2
3/12/2019 17:15,-57,-54,-58,2
3/12/2019 17:16,-60,-55,-59,0
3/12/2019 17:17,-57,-54,-58,2
3/12/2019 17:18,-58,-54,-59,2
3/12/2019 17:19,-59,-54,-60,2
3/12/2019 17:20,-54,-55,-55,2
3/12/2019 17:21,-61,-54,-59,0
3/12/2019 17:22,-60,-55,-59,0
3/12/2019 17:23,-61,-55,-58,0
3/12/2019 17:24,-59,-53,-58,0
3/12/2019 17:25,-58,-54,-59,2
3/12/2019 17:26,-59,-55,-60,2
3/12/2019 17:27,-60,-54,-61,2
3/12/2019 17:28,-58,-55,-57,0
3/12/2019 17:29,-55,-54,-56,2
3/12/2019 17:30,-56,-54,-56,2
3/12/2019 17:31,-57,-54,-56,0
3/12/2019 17:32,-58,-55,-56,0
3/12/2019 17:33,-60,-54,-56,0
3/12/2019 17:34,-55,-54,-56,2
3/12/2019 17:35,-56,-54,-57,2
3/12/2019 17:37,-57,-54,-58,2
3/12/2019 17:38,-58,-54,-58,2
3/12/2019 17:39,-59,-55,-59,2
3/12/2019 17:40,-61,-54,-60,0
3/12/2019 17:41,-62,-55,-61,0
3/12/2019 17:42,-63,-54,-62,0
3/12/2019 17:43,-65,-54,-64,0
3/12/2019 17:44,-67,-54,-66,0
3/12/2019 17:45,-68,-55,-66,0
3/12/2019 17:46,-65,-54,-66,2
3/12/2019 17:47,-65,-55,-66,2
3/12/2019 17:48,-65,-54,-66,2
3/12/2019 17:49,-65,-55,-66,2
3/12/2019 17:50,-65,-54,-66,2
3/12/2019 17:51,-64,-55,-66,2
3/12/2019 17:51,-63,-54,-65,2
3/12/2019 17:52,-62,-55,-65,2
3/12/2019 17:53,-61,-54,-65,2
3/12/2019 17:54,-61,-54,-65,2
3/12/2019 17:55,-61,-54,-65,2
3/12/2019 17:56,-61,-55,-65,2
3/12/2019 17:57,-61,-54,-65,2
3/12/2019 17:58,-60,-54,-64,2
3/12/2019 17:59,-59,-54,-63,2
3/12/2019 18:00,-59,-54,-63,2
3/12/2019 18:01,-59,-54,-63,2
3/12/2019 18:02,-59,-55,-63,2
3/12/2019 18:03,-59,-54,-63,2
3/12/2019 18:04,-58,-55,-63,2
3/12/2019 18:05,-58,-54,-62,2
3/12/2019 18:06,-58,-54,-62,2
3/12/2019 18:07,-57,-54,-59,2
3/12/2019 18:08,-57,-55,-59,2
3/12/2019 18:08,-57,-54,-59,2
3/12/2019 18:08,-55,-54,-59,2
3/12/2019 18:09,-54,-55,-58,2
3/12/2019 18:10,-54,-54,-58,2
3/12/2019 18:11,-54,-55,-58,2
3/12/2019 18:12,-54,-54,-58,2
3/12/2019 18:13,-54,-54,-58,2
3/12/2019 18:14,-53,-54,-57,2
3/12/2019 18:15,-54,-55,-57,2
3/12/2019 18:16,-53,-54,-57,2
3/12/2019 18:17,-54,-54,-57,2
3/12/2019 18:18,-53,-54,-56,2
3/12/2019 18:19,-55,-54,-56,2
3/12/2019 18:20,-53,-54,-55,2
3/12/2019 18:21,-54,-55,-55,2
3/12/2019 18:22,-54,-54,-55,2
3/12/2019 18:23,-54,-55,-55,2
3/12/2019 18:24,-54,-54,-55,2
3/12/2019 18:25,-54,-54,-55,2
3/12/2019 18:26,-54,-54,-55,2
3/12/2019 18:26,-54,-55,-55,2
3/12/2019 18:27,-55,-54,-55,2
3/12/2019 18:28,-55,-55,-55,2
3/12/2019 18:29,-53,-55,-52,1
3/12/2019 18:30,-55,-53,-52,0
3/12/2019 18:31,-55,-54,-52,0
3/12/2019 18:32,-53,-55,-52,1
3/12/2019 18:33,-53,-54,-54,2
3/12/2019 18:34,-53,-54,-57,2
3/12/2019 18:35,-54,-55,-57,2
3/12/2019 18:36,-53,-54,-57,2
3/12/2019 18:37,-54,-54,-57,2
3/12/2019 18:38,-53,-54,-56,2
3/12/2019 18:39,-55,-54,-56,2
3/12/2019 18:40,-53,-54,-55,2
3/12/2019 18:41,-54,-55,-55,2
3/12/2019 18:42,-54,-54,-55,2
3/12/2019 18:43,-54,-55,-55,2
3/12/2019 18:44,-54,-54,-55,2
3/12/2019 18:45,-54,-54,-55,2
3/12/2019 18:46,-54,-54,-55,2
3/12/2019 18:47,-54,-55,-55,2
3/12/2019 18:48,-55,-54,-55,2
3/12/2019 18:49,-55,-55,-55,2
3/12/2019 18:50,-53,-55,-52,1
3/12/2019 18:51,-55,-53,-52,0
